,deterministic,surrogate_0,surrogate_1,surrogate_2
29,198716.83534493312,199628.29813382862,197031.02329124906,200163.76791948004
30,191529.5980150362,193054.25921670868,189682.7381707548,194341.89930720555
31,217623.49425188592,217876.65747160173,216168.82769175875,217612.0953309827
32,220745.05011083535,220965.83895267523,219286.24356480205,220652.68534054916
33,223429.13984821035,223380.85722543046,222760.87619716127,222797.51195873978
34,192930.77312151785,194244.1285670093,191136.4942271572,195268.423895724
35,208606.43710667093,209567.5698250443,206927.89545359317,210143.25044366304
36,209951.8533289908,210064.5797778121,208492.8855789242,209638.67533354677
37,208334.06854085936,208959.38676245604,206735.42595611006,209148.38967623436
38,213710.83566900663,213880.7557305797,212225.6967112014,213521.0437038439
39,216372.6991917382,216155.48858086974,214992.63977827795,215334.8232680853
40,222995.58353866864,222978.87554582028,223955.05894071315,222452.7807295451
41,197835.83178289383,198442.08225340786,196227.54523877378,198649.8305780139
42,210871.7887889205,211505.78072295536,209278.71179159736,211675.97895501257
43,198544.12891700104,199546.88490108674,196848.7787110787,200235.1476005458
44,209901.77260499197,209899.15433166228,208453.0285191004,209344.88541450322
45,204471.09457278543,204777.63331643568,202942.41728231544,204603.7757391925
46,210796.25442083547,211842.11889003147,209112.37180858842,212520.33841451915
47,201140.86752306935,201692.68647797254,199549.31173662463,201811.56504450788
48,216972.95989081752,217261.74835406395,215475.81754192992,217031.52568608389
49,198381.902923116,199214.1805844963,196717.8686246503,199681.97694710968
50,210593.7118475985,210616.94942965792,209149.16555953876,210100.4645792641
51,203008.95545471783,203746.08060524316,201379.80497153383,204083.2954247846
52,200799.3164085948,201425.04071536526,199199.46421832638,201639.99473795234
53,202962.9887759792,203692.99072581908,201328.77937461055,204003.66401789812
54,221690.33260534916,221929.54190164915,220335.97374737458,221694.64489703148
55,211508.59343872947,212118.98818923705,209921.8514319276,212278.54370436317
56,193434.86358731007,194384.59046529458,191720.2751905857,194991.06598283432
57,237433.3273521437,228524.80433707772,239037.30714814755,227758.03327597154
58,212583.30619781616,212608.01016763883,211137.17994710308,212083.15565090143
59,206962.1001745922,207420.67020236564,205400.88733633328,207414.75350892564
60,224328.9743056563,224357.9610482765,228545.74798606755,225981.3665732497
61,216915.84541768327,217231.58338740384,215461.06397861498,217059.0199058795
62,212254.30244039456,212753.80329281965,210697.43334790232,212781.1453043025
63,205330.79388097403,206054.11188470467,203706.99988738704,206369.12986018043
64,205133.25585361506,205819.00100461225,203528.74286878415,206096.38308427212
65,204558.90764702988,205270.49433745106,202938.61848117225,205563.70286650094
66,195505.11895629362,196668.6667641102,193755.17306468743,197544.7837787035
67,199311.310941001,200100.70552327234,197656.17889495942,200520.68553448687
68,207918.73387702153,208305.85358794077,206377.29487809414,208200.67900756886
69,212836.32778981063,213267.01227695288,211329.12505643742,213237.30068295158
70,212003.10465331117,212195.14852845488,210513.4027256082,211858.9495043467
71,208385.85968552384,208766.2966575373,206848.37215241167,208663.18471939836
72,209529.27139807286,210031.76721647225,207963.91039338274,210069.54630309757
73,216964.5232886688,216937.0578394209,215551.04605082603,216336.53978637303
74,209345.8267269822,209473.18478472653,207878.1697534049,209062.83079093788
75,210316.13737115025,210565.1558442287,208810.1778894163,210303.68677702436
76,196638.90794178285,197708.27284844223,194910.99517582968,198437.94463527953
77,202604.76890533604,203757.6925712595,200894.6201408483,204587.61588458042
78,240012.182486761,234172.8863924258,240516.5846027588,240995.50048927573
79,211588.93008458545,212144.60321340326,210008.6218908474,212246.05026358907
80,217532.16584894957,217355.1973644736,216160.07386577508,216583.44420378748
81,208729.1407560049,209273.08005648042,207157.0126197859,209349.12582740703
82,205653.0080090745,205741.9015350308,204191.91787902493,205343.49428108832
83,210093.62011857063,210736.00326559696,208501.57913446907,210940.83326495747
84,213032.27775938727,213311.0929847713,211538.75353638784,213063.34677620558
85,223436.96679527627,222988.60231400642,222135.80298389637,221877.35828020604
86,232068.2205899113,226093.75303634867,232405.49289268663,229615.11162441442
87,217019.9188370247,217805.5688633219,215454.39295085002,218158.47301386116
88,213803.5641708136,214135.3829950454,212290.6996762039,213962.9751095319
89,201920.8562549316,202701.19127894338,200281.5607866825,203080.24050103192
90,212541.20848041502,212889.79380736387,211041.39999586274,212725.97011009112
91,213040.76568992925,213418.14617406362,211518.1472930521,213304.27496198216
92,208521.10574759648,209126.94718968507,206941.4631065225,209312.68326800922
93,211725.7384491864,211837.0129730521,210255.87628881284,211407.2778593923
94,212382.6777489282,212608.830605115,210893.93780276325,212313.5262263601
95,207440.72341479888,207943.333263061,205874.78764363914,207983.97549242352
96,208684.81397785593,209130.9983509758,207142.79443004896,209100.67190820118
97,196266.5568352647,197206.23218800017,194566.5526975303,197789.31837297545
98,297722.54261013103,299365.15980407543,313383.55540627055,292237.33126950404
99,217757.59182339848,217606.8709052195,216368.27404258947,216868.55725570608
100,215713.22758557336,216103.04768461222,214214.1847855145,216003.16175537783
101,206623.12869241065,207097.21287624573,205062.7502624562,207101.6178899858
102,213778.81724581635,213795.69079124753,212347.70148565384,213250.2729462472
103,220456.1146913546,220334.01985221775,219073.64709753846,219615.57985518538
104,207933.66650165524,208554.34627392612,206345.636389745,208718.17262911377
105,197041.30385933752,198173.28556810413,195295.61483302643,198985.62779856345
106,213714.09368435873,213499.28419023834,212335.8588591859,212685.23931498794
107,208943.66875568434,209059.3479032703,207474.99329865014,208641.2831596517
108,199760.3302173785,200625.3732867798,198094.71072910173,201112.3725031076
109,218935.5218882741,218887.938719497,217528.1640983041,218256.7352570257
110,300849.2034083708,303142.4505683169,320281.0894369527,292530.24382054165
111,208720.35472449503,209418.59663026038,207104.89944220602,209681.34059500898
112,212354.9108099596,213511.04252650717,210646.43594998054,214295.3053476973
113,194655.35508812193,195330.98069128674,193026.49738351052,195603.44317553012
114,202327.94374344996,202938.63765505515,200735.49318135742,203135.14244003338
115,201943.14349160664,202542.22385797242,200378.791800042,202774.45600705445
116,216344.55757814698,216702.7293787583,214830.76785534128,216557.97497168748
117,220284.14854303782,220229.9382278883,218896.40572094484,219573.8848446064
118,199088.626628818,200331.79283886266,197321.67714930692,201263.1278747603
119,216766.67513746297,217388.4121464586,215199.32666990827,217557.95510156328
120,200996.8335687383,201861.92411146656,199326.960787185,202336.00432026683
121,203018.70505868367,203657.13943896565,201408.42321785164,203921.3571830214
122,222129.35953003762,222216.10984893038,220705.42014713766,221717.46533694107
123,215826.09856573376,216519.25436739356,214229.32245721546,216771.91470244268
124,207711.16058410058,208681.17950396016,206030.47982610602,209270.60040455457
125,207315.59065018166,207560.17971839476,205810.0440623475,207302.24714206118
126,203153.82222682924,204348.1627493988,201408.13896369602,205211.90109661105
127,277042.0087217636,268468.89771936904,279169.01928791986,271183.2200837997
128,210198.2870417455,211062.2063291278,208565.97087780313,211581.0153226283
129,262390.6198534635,255856.63455110363,261619.6003297181,261198.1652193828
130,219439.3865664153,219441.8414191125,218039.46787725476,218848.08759830295
131,219399.14618867415,219428.97680180776,219969.5916479517,218981.808827812
132,249766.7219794158,241550.86361386479,249481.74682714354,244156.7183976891
133,217137.61896373774,217765.95726325474,215581.75735142245,217915.36952464358
134,200812.80107563967,201347.4711882696,199225.8664217738,201463.48290581934
135,204515.14930907916,205746.42450079665,202773.03212632413,206668.78969724308
136,211566.1046162816,212035.47216469815,210039.07887760454,212059.4403002361
137,205176.8387600003,205725.99901165772,203604.5332669099,205837.02832122458
138,201266.12156868447,202058.49931870686,199631.63758553215,202519.025706926
139,225207.37701724595,225190.36957247127,225923.11847704163,224637.16523912922
140,210264.80211090547,210101.6843260118,208864.93929883977,209346.14377110475
141,202478.38493845926,203507.31794535898,200784.97836158762,204228.5398681201
142,208891.0978115089,209646.78699660394,207284.4465128145,209973.75414657686
143,216966.94987488142,217488.97490555755,215418.23723502626,217535.77971214632
144,204562.83889949534,205652.73088295682,202862.78708509795,206381.99615854648
145,212622.5990598393,212739.61462923448,211159.44084497044,212324.90611140255
146,204024.89495383517,204619.53285939933,202417.7937003667,204783.55911846546
147,207599.0661478592,208017.30404823314,206050.62630155566,207952.8490746445
148,215658.28207833873,215312.18253996363,214316.59786726668,214332.6965668532
149,217887.20401555722,218102.94694719173,216421.04375079734,217778.72244123498
150,272427.51032630197,265000.9890444459,273190.7187196044,274564.15189617407
151,210657.95677603336,211190.52142631996,209082.82785397593,211262.42977495267
152,206851.21528902242,207883.22781319526,205147.20222803275,208545.12732756062
153,210086.45414359792,210653.71159714588,208592.19210279582,210854.78912320014
154,210862.32596822886,211425.00854827886,209284.19945811157,211534.43891911686
155,205517.83786279464,206438.8992444897,203855.35258046517,206962.30018806126
156,205571.97606990323,206638.61129320308,203866.5926163075,207356.05661875225
157,245026.72177558596,238859.4002533377,244276.33673205593,246270.21191726788
158,201183.26856197265,201860.7220419064,199558.50757033084,202120.2047074574
159,221168.11711695557,221575.3984782208,219703.84975866255,221508.88102010812
160,203134.04551921776,203782.3030600194,201525.50274493912,203994.4095844311
161,210675.56896506558,211318.4234844895,209082.48368283678,211531.42344016145
162,204443.30581505512,205165.7665390714,202821.61613436934,205483.36479055922
163,204507.02776545956,205122.62948056706,202899.67828472352,205310.37807073258
164,243390.6324713542,237488.87770167337,243114.9131801144,244591.44393882668
165,210670.50805008225,211244.00367289063,209103.20338022948,211373.74050240128
166,217008.02753183641,217345.07700298284,215503.4794874666,217161.277547725
167,208859.31486963484,209077.76270454295,207362.92960065033,208791.81242977368
168,225842.21155435988,225500.51109606645,229964.3147655766,225127.52077233235
169,209276.4120356253,209665.79230149402,207746.22491315415,209559.45167860878
170,209212.65282863344,209833.54832784468,207620.13779447778,210008.65221461258
171,216059.17143938135,216163.65063884013,214605.06825853133,215724.14701712056
172,207669.48767164457,207754.3763460163,206205.38206583966,207324.285201375
173,218656.75437851856,218516.4236877017,217301.2566972202,217775.92357613824
174,206878.8682982655,207132.5539116735,205375.11351919992,206875.90674357192
175,207117.86919674708,207236.22541267492,205639.4598745117,206830.90469887713
176,199643.04968020998,200394.54530499733,198010.37633155854,200776.4509433293
177,200046.45601005072,201574.64739817576,198213.20141546373,202830.45031587206
178,296190.7435018264,287231.55923880637,300674.71173188055,287547.0841320423
179,206267.92953875306,206822.9428936233,204681.01851447692,206917.41814890344
180,251652.81309098605,240507.98255654774,253232.93665133562,242093.42925589246
181,227939.01404253196,223872.24086114916,228135.39658972755,230287.95201555052
182,201348.1064461612,202001.41059031058,199739.6111858919,202266.1397397675
183,208255.5496202506,208558.36410695157,206739.2598684617,208365.8779489773
184,232760.01929126526,227065.11985896697,235789.77213038708,230137.65278991393
185,226689.17017887905,224158.47918984434,228509.7744811927,224145.8270604538
186,210635.9878883611,210933.45304827718,209122.71113170226,210728.6867046638
187,218480.25054805906,218913.88058313087,216989.41078935622,218845.22880718822
188,202603.77738312955,203744.93168692704,200895.6914877048,204588.0445134584
189,217956.8356521058,218184.31085051692,216504.0952200977,217871.70397988235
190,210095.29403072858,210252.57156618743,208624.77855800203,209877.93121279473
191,213099.55145899876,213026.7893755593,211682.3073143054,212377.451747687
192,201840.24247296125,202928.42845750233,200117.49897273976,203662.83861058526
193,186512.00158012798,188086.6806362151,184636.65293327853,189449.84567297908
194,213466.0364823395,213797.04405541043,211968.57377488844,213614.71055303345
195,210309.56227149384,210409.548428496,208849.93191254418,209960.12694077345
196,220553.81266156287,220454.27605971158,219160.9667619793,219759.64047701156
197,218140.17666325945,218146.7882147286,216714.64213917617,217591.32768543338
198,209281.22031599758,209789.24725640696,207718.1313627359,209826.22580034152
199,206504.95911164285,206765.6592678259,204991.14404827158,206532.96105689835
