,deterministic,surrogate_0
102,213174.79654171332,211475.78460969843
103,220119.86462056823,218685.29930842307
104,206244.08658400897,203481.45976199355
105,194454.3955793319,190885.37173483914
106,213495.10668006798,212178.31071187602
107,208147.97518035793,206312.24520038735
108,197672.31236090662,194634.57484836085
109,404058.8430236316,216881.8883149636
110,322130.248019694,351296.51590848574
111,206893.13999513283,204010.2461890589
112,209758.42462682055,206106.15385655814
113,192879.837344001,190173.81563466848
114,200767.80919329694,198384.4135239405
115,644934.4065659354,198440.93927085155
116,215153.61858487254,212897.66580033617
117,219836.12163443794,218278.31902977542
118,196310.25400496408,192559.19223251284
119,215173.33523616253,212575.07758142083
120,198859.62401104954,195707.86395826598
121,201356.94424160564,198779.9673678271
122,221431.80312195484,219599.3866611611
123,214042.1428163796,211231.78056605044
124,205446.31725546243,202216.56117574353
125,206278.9859701829,204179.36868518393
126,200457.2245695695,196776.88754577324
127,277662.25756964344,299284.4357912267
128,208244.05147207231,205432.95799002764
129,259632.65100532921,270207.19117612473
130,218891.72346632712,217227.42281053116
131,218778.34914477947,222363.23152234394
132,249603.88280890012,263167.9948621247
133,215502.80758866796,212797.6091377855
134,199305.82904485363,196862.72833096658
135,201847.03958056186,198322.24080089646
136,210306.42367764688,208200.71144042406
137,203673.50903359387,201254.91395083556
138,199468.71688684207,196905.939093825
139,224661.30762325384,223703.35191612068
140,209942.99236886075,208514.48984627987
141,200188.07209035422,197017.68449473716
142,207017.95197200275,204135.05539616485
143,215503.0575864348,213015.74329008386
144,202108.24304229696,198688.74906115668
145,211821.44760425854,209938.13135758365
146,202343.79295242147,199611.6529520217
147,206265.28299441963,203859.58944535672
148,215680.51666359435,214583.77822851395
149,216967.01107435024,214961.89728551015
150,266707.4416192889,282105.2291311781
151,209118.48078348357,206512.1557743103
152,204433.022107518,200969.32300855216
153,208754.620423636,206802.79607574327
154,209273.74573477783,206619.07935264707
155,203346.4864516519,200179.28015113468
156,203152.4257937852,199762.6296908998
157,241909.61999589595,255820.4222924469
