,Unnamed: 0,deterministic,surrogate_1,surrogate_0,surrogate_2
0,0,218723.92790749023,218229.804868924,215802.37336505152,217961.4572513444
1,1,197785.79432491865,197713.7710317753,194352.47523343572,196461.1080429177
2,2,299569.2275390972,305255.71864461154,305310.717997824,302503.499041965
3,3,225454.1023396648,223174.23757486785,229999.1366717319,227531.64164321448
4,4,208547.0054473845,208376.14893168208,205293.6838462619,207419.53847183363
5,5,209202.4389140038,208035.68233102103,207168.6336385926,209460.57982966505
6,6,229700.3022835257,233991.70917904848,237299.49618471437,229481.3879882052
7,7,210660.07860778773,209637.08871147136,208463.88363810425,210729.14995480428
8,8,213935.29897128863,213481.00235375983,211076.57349522223,213258.46857020463
9,9,216461.6671313708,215791.4707616451,213816.8658944069,216013.0389710205
10,10,216281.3959418715,215454.07548607187,213831.57189139316,216060.9498036936
11,11,201165.99499238585,201611.37614193835,197059.7243959636,199076.8461686225
12,12,218932.71013873495,219377.0251825144,227620.76431913773,220252.86675999404
13,13,216006.95647728385,215416.04786899063,213321.59818811915,215523.13736660383
14,14,200225.7558474366,199811.268834792,197256.87260240107,199424.75365491185
15,15,238287.75165015183,243417.5162084708,251172.42579754363,240741.73651091137
16,16,199998.89030439267,199614.8792181986,196960.48013540424,199121.36834060145
17,17,203518.0033505557,202546.13710649867,201253.1161136688,203514.29633784303
18,18,207766.50262629383,206812.0430543299,205570.7191407771,207840.4364165957
19,19,205121.1711077306,204039.1030868459,202979.49242373908,205249.1551998928
20,20,198427.66842389497,197720.7128012328,195898.72196365395,198137.87132143148
21,21,200437.9227807916,200349.5769680912,197042.79842443072,199157.8476545171
22,22,213007.81004288897,211553.11918972453,211449.54514737928,213797.14024134344
23,23,250813.94389184332,252808.65205131797,268210.5845484179,257285.75515589555
24,24,212432.2119452012,211168.8848632192,210567.1063351124,212881.5917776385
25,25,195008.8430601543,194964.6860936882,191708.08120908047,193849.8426176411
26,26,208414.26552879077,207730.80375450425,205760.1752177709,207962.92971306853
27,27,210535.3645283513,209413.6478550737,208453.47818215797,210733.3368007409
28,28,206853.62186308688,205859.34225286412,204634.5983587061,206901.47922122595
29,29,196488.98318971,196267.50798750485,193223.90913376835,195354.23727934825
30,30,188271.42112824545,188795.01531084388,184113.3622164409,186129.96580499044
31,31,216655.73944748973,215529.9943322797,214697.19881157452,216968.5687543308
32,32,219858.5383723918,218681.9263030754,217926.39874048205,220224.7315314625
33,33,222901.50232663253,221528.29507695345,221426.0120942001,223582.7303581012
34,34,190007.1796957905,190297.66546934063,186124.9358322323,188178.1882938085
35,35,206335.9344447222,206167.5096477248,203027.18638618296,205147.38267622652
36,36,209178.72885668103,207873.8355735149,207351.78115772048,209669.9892342394
37,37,206640.9836830448,206038.27459928303,203919.2498490651,206117.8420730561
38,38,212787.4165396967,211612.2379625411,210767.6567515598,213055.4256997649
39,39,216148.70430953932,214459.99096221908,214817.55192902905,217198.88743931832
40,40,222470.56489208824,221133.09373054805,223405.50974627267,223200.2964629794
41,41,196194.3894648952,195512.338978788,193613.4827441538,195838.5159313968
42,42,209155.93201688968,208582.7950071997,206336.7214026717,208522.1524995945
43,43,196273.78953856824,196026.09713106183,193088.0622552023,195234.38516387035
44,44,209280.9148803673,207871.12825375117,207573.94111192104,209910.10740029684
45,45,203319.1795184988,202312.6929917478,201154.5101753836,203432.56499512415
46,46,208444.5592832083,208323.6883838641,205120.18629135145,207237.0866911337
47,47,199570.87486728304,198866.5497110344,196988.6095296763,199210.37450044643
48,48,215884.8527399944,214854.55190592105,213700.14731889247,215965.44501985653
49,49,196353.95490697684,195970.07096503492,193372.699807149,195546.3226604561
50,50,209947.5169904633,208581.319748151,208220.27165639077,210544.9347337185
51,51,201140.1576534248,200611.95074161247,198249.05260667152,200428.5674434289
52,52,199173.343377514,198503.2678797909,196668.5046532319,198913.02657983257
53,53,201061.65978578784,200609.942553714,198114.22030699617,200286.81072241068
54,54,220686.9866853712,219660.5469846988,218686.3087720608,220854.5217047427
55,55,209840.12413801777,209232.59776839372,207098.48603168287,209289.2158551493
56,56,191102.82839365496,190951.74215938235,187750.7097661394,189867.74048069463
57,57,243051.61464154307,240998.86916654592,265070.0116884164,253232.7276405228
58,58,211927.26613261708,210554.76154012515,210185.4562348544,212510.4949347133
59,59,205556.2239041009,204732.7714191129,203140.46634919217,205387.0959818225
60,60,223572.0481065483,223604.05421996184,225723.3579665668,224034.5408496704
61,61,215816.8287728391,214792.99852985723,213703.51427384937,215951.97250085665
62,62,210791.95447721635,210031.6059498464,208258.0210932485,210477.80945152196
63,63,203492.0511068179,202990.12710634733,200654.28077407743,202841.84881095856
64,64,203399.43860554797,202817.43485629655,200695.34374375743,202903.22692144307
65,65,202719.6052779132,202211.4669799986,199883.16422956687,202067.0761634662
66,66,192939.4716380336,192940.38326056357,189591.33470436095,191732.8069288717
