,deterministic,surrogate_2,surrogate_1,surrogate_0
101,201335.85930655574,201908.2579240774,201577.34701128406,206148.21130460716
102,205923.2905738034,206722.37632581167,207777.53806983237,205094.97599360207
103,194538.13831601807,195170.51553482955,194850.0493517749,192681.47671799452
104,207923.22189282917,208814.4222706219,208633.28931135763,204103.22818212013
105,253619.95395968802,247633.07722375286,254509.87451081385,287248.3400510591
106,296040.374458686,295481.4587113848,283158.0948896645,280894.01301677077
107,197138.30103768958,197612.8589142579,197218.01257345884,198575.4237786493
108,181563.098617542,181983.09913717117,181573.6231426166,182237.5896909239
109,204264.99072621227,205251.55721925996,205077.97416075226,199251.92031704303
110,180672.35261386778,180963.16762542122,180493.35239130008,182033.02809079262
111,193761.91515812784,194451.7795315437,194160.25220896568,191753.0916392116
112,190587.28319961386,191195.29628444713,190861.73422296665,188848.2776143294
113,206516.2966973686,207967.8904815896,210237.3821804223,232365.56838581373
114,195799.52420915023,196320.6906141289,195947.8113282383,194959.38319006626
115,209797.3598396602,210548.69513797906,212365.07286471967,205948.6036597119
116,187684.8765244707,188084.6704742188,187665.99962632154,188170.96335265582
117,202755.6779426557,204605.93607605377,205520.28584034654,234455.17356713006
118,188177.1503856521,188439.17679766795,187942.63672819026,190142.93773320105
119,202440.82236645586,203188.26122169552,202918.718570017,199825.14532151178
120,194761.495191678,195333.14246326353,194981.95332240436,193402.01181755832
121,229036.21489440612,227174.72694292187,232129.40135885554,257668.5753455339
122,185435.82563234633,185836.31728525544,185399.96297457098,186732.46587901455
123,249413.26765393952,245892.90470695606,247635.93177893298,263095.45690619806
124,221829.62163495886,220464.1068212961,224214.61741321156,238061.28854367207
125,192466.69325004748,193054.03958693286,192709.4419318725,191007.65791300935
126,201177.0831990248,201715.99453541145,202129.78711208538,213819.08192096316
127,185665.3377853701,186044.6659161366,185622.28345434894,186339.5692108223
128,214063.25292219472,214288.2929330304,218545.6271207049,245899.82184628682
129,209227.97214725497,212170.94469665777,215209.5344685118,243076.29078586318
130,198203.97650369775,198950.70051210077,198678.6429460168,195349.1615500082
131,210244.74375408015,210793.46627193224,212987.27974720692,206282.82093212032
132,193857.30352476955,194508.12096687843,194200.3697067926,192261.05114128406
133,218954.1730768669,219042.33018299632,222567.62193587236,257867.50740295876
134,190349.09483738255,190956.14941245574,190623.90059567738,189260.9441952916
135,725103.6099894014,717625.1567331075,692168.3875705567,743566.3848004217
136,187641.6131017368,188053.70277965345,187634.566606151,188040.09985292645
137,201860.86082522536,202780.68512845977,202583.7829858373,197447.83138906397
138,328179.3030064013,324350.57056010084,316756.7879323553,347811.83711425844
139,193111.0656804198,193838.31348720018,193563.2663908429,190786.75313523196
140,184019.7647948254,184442.2833966824,184036.75969796363,184435.82603111322
141,200724.9250597074,201447.81408492185,201158.904740774,198050.83567466628
142,190857.60742177122,191545.8287581203,191252.80777886158,188671.5179349882
143,203595.77883999,204455.14235593565,204225.77003089763,200113.1117639027
144,203794.48364178644,204364.1574148845,204023.2265801876,210284.543676898
145,293513.8333171379,291115.97856543836,284356.9047391474,301700.0686229487
146,204514.0477382871,205428.58090906095,205223.23189324734,200106.22374376864
147,220087.74535069108,219226.49706668,225001.50316841394,215401.6829151396
148,503062.36159389105,504728.6386151393,485646.21957854234,428674.80034051894
149,197969.2502443203,198727.32423940682,198457.78709095836,195098.4880311147
150,218397.45119964803,218199.05453975138,222865.89141986638,214604.65453836968
151,408341.4084715262,407912.863832922,400717.54802969674,425123.72629636445
152,316406.5776503543,310910.1201070024,304760.0305649793,378527.93978921114
153,181563.098617542,181983.09913717117,181573.6231426166,182237.5896909239
154,197889.40682924108,198694.47894576914,198448.05141053908,194497.47405583668
155,193978.31123878018,194605.88727442562,194281.9993682634,192588.82400868906
156,186998.21933355537,187594.74505675677,187259.00009393186,185977.5569951487
157,191771.3881418,192445.43049562484,192139.99790377708,189481.65749178443
158,203313.5261973834,204002.53956788615,203717.42648351606,202283.99215854495
159,203503.35001970106,204241.90366864484,203963.97845579952,201221.0364014193
160,211686.644015653,212045.5995379264,215205.8717943629,217538.82122644736
161,181004.40858436612,181367.7675145853,180935.50099816525,181496.95909472552
162,203313.5261973834,204002.53956788615,203717.42648351606,202283.99215854495
163,195799.52420915023,196320.6906141289,195947.8113282383,194959.38319006626
164,201145.64792695682,202001.66732886859,201787.5858322269,197481.51473549008
165,188253.44062221464,188945.55296478313,188650.02015315104,186132.2051715562
166,187057.41747676267,187379.44146751656,186924.15098447952,187895.49073354228
167,330304.0448439964,329416.173829375,322781.78502088954,319383.40268343035
168,206305.5702756493,207216.00173484362,207014.25509889587,201956.97575605166
169,197592.84728810246,198195.48560111524,197857.10927950457,196466.38012938935
170,185023.6233564063,185412.0565010896,184986.8184408627,185980.01894341345
171,198737.8625113122,199482.13674841262,199212.33585099073,196100.74009985573
172,186618.8664630035,187233.48287764835,186909.39940095806,185979.0504185405
173,714952.291903032,717037.6630871498,699421.3126351554,687447.9704677755
174,201860.86082522536,202780.68512845977,202583.7829858373,197447.83138906397
175,203104.96499953806,204653.8875502129,205474.0607154059,221706.03349912836
176,188370.80271965874,188773.95088963976,188365.6119790393,189331.0877490546
177,203313.5261973834,204002.53956788615,203717.42648351606,202283.99215854495
178,202045.84899406345,202692.4816417247,202376.44145982174,199993.23193392562
179,192300.66992957972,192843.23922056792,192484.60626704406,191194.23963493004
180,204171.76198580518,204877.2759837802,204575.10832071624,202139.40620469808
181,195550.11688053556,196240.67701038852,195945.34318435393,193105.39716919704
182,180909.53003042057,181309.8665275583,180890.5850002909,181452.99380419208
